no,id,name,play_name,normalized_genre,libretto,first_author,title,subtitle,num_of_co_authors,max_degree_ids,num_of_segments,num_of_acts,num_of_speakers,num_of_speakers_male,num_of_speakers_female,num_of_speakers_unknown,num_of_person_groups,num_of_p,num_of_l,wikipedia_link_count,word_count_text,word_count_sp,word_count_stage,year_written,year_premiered,year_printed,year_normalized,average_degree,density,average_clustering,size,max_degree,num_connected_components,diameter,average_path_length
152,fre000128,biancollelli-foire-galante,biancollelli-foire-galante,Comedy,False,Biancolelli,La Foire Galante le Mariage d'Arlequin,Opéra Comique,0,arlequin,25,0,14,4,3,7,0,0,674,,4578,4345,517,,1710-07-25,1710,1710.0,6.0,0.46153846153846156,0.7980935730935731,14,13.0,1.0,2.0,1.5384615384615385
164,fre000138,bizet-boites,bizet-boites,Comedy,False,Bizet,"Les Boîtes, ou La Conspiration des Mouchoirs, Divertissement-Vaudeville",,0,scevola|blaise|subtil,18,0,11,0,0,11,0,145,227,,4555,4359,388,,1796-09-05,1796,1796.0,6.0,0.6,0.8404040404040404,11,9.0,1.0,3.0,1.4181818181818182
165,fre000137,bizet-simonot-gilles-tout-seul,bizet-simonot-gilles-tout-seul,,False,Bizet,Gilles Tout Seul,Vaudeville en un Acte.,1,gilles,2,0,1,1,0,0,0,82,411,,5561,5433,800,,1799-02-19,1799,1799.0,0.0,0.0,0.0,1,0.0,1.0,0.0,0.0
208,fre000180,boursault-medecin-volant,boursault-medecin-volant,Comedy,False,Boursault,Le Médecin Volant,Comédie Burlesque,0,crispin|fernand,25,1,7,5,2,0,0,0,702,,6546,5853,171,,1694-10,1666,1666.0,4.285714285714286,0.7142857142857143,0.8857142857142858,7,6.0,1.0,2.0,1.2857142857142858
369,fre000318,colle-esperance,colle-esperance,,False,Collé,"L'Espérance, Prologue, en Vaudevilles et en Prose.",,0,l-esperance|la-parade|leandre,6,0,6,2,3,1,0,74,250,,3277,3179,249,,1731,1777,1731.0,4.333333333333333,0.8666666666666667,0.9,6,5.0,1.0,2.0,1.1333333333333333
444,fre000390,coupigny-barre-piis-desfontaines-hommage-racine,coupigny-barre-piis-desfontaines-hommage-racine,,False,Coupigny,Hommage du Petit Vaudeville au Grand Racine.,Vaudeville en un Acte,4,laforest|petit-jean|antoine,7,1,10,5,0,5,0,168,369,,5092,4868,254,,1798-05-21,1798,1798.0,7.0,0.7777777777777778,0.9166666666666666,10,9.0,1.0,2.0,1.2222222222222223
632,fre000547,dufresny-joueuse,dufresny-joueuse,Comedy,False,Dufresny,La Joueuse,"Comédie en Cinq Actes, avec un Divertissement.",0,several characters,54,5,11,5,5,1,0,802,76,,17138,16769,29,,1709-10-22,1699,1699.0,7.090909090909091,0.7090909090909091,0.8683261183261183,11,9.0,1.0,2.0,1.290909090909091
668,fre000595,duvert-xavier-odeina,duvert-xavier-odeina,Comedy,False,Duvert,Odéina ou La Canadienne,Comédie-Vaudeville en un Acte,1,eugene,21,1,13,3,2,8,0,306,245,,7886,7482,472,,,1827,1827.0,9.538461538461538,0.7948717948717948,0.9351981351981351,13,12.0,1.0,2.0,1.205128205128205
731,fre000657,fuzelier-orphee,fuzelier-orphee,,False,Fuzelier,"Orphée, ou Arlequin aux Enfers",Divertissement qui A Eté Joué Ensuite du Pédant le Samedi Douze Septembre 1711.,0,scaramouche|arlequin,7,1,3,2,0,1,0,0,34,,946,456,555,,1716-09-12,1711,1711.0,0.6666666666666666,0.3333333333333333,0.0,3,1.0,2.0,1.0,1.0
732,fre000658,fuzelier-scaramouche-pedant,fuzelier-scaramouche-pedant,,False,Fuzelier,Scaramouche Pédant,Divertissement Représenté par les Sieurs Dolet et la Place.,0,several characters,13,1,7,4,1,2,0,0,102,,1734,995,921,,1716-09-12,1711,1711.0,0.0,0.0,0.0,7,0.0,7.0,0.0,0.0
807,fre000726,grandval-eunuque,grandval-eunuque,,False,Grandval,L'Eunuque ou La Fidèle Infidélité,Parade en vaudevilles mêlée de prose et de vers,0,several characters,7,1,6,3,2,1,0,72,632,,6335,6059,511,,1755-10,1755,1755.0,5.0,1.0,1.0,6,5.0,1.0,1.0,1.0
844,fre000761,henault-temple-des-chimeres,henault-temple-des-chimeres,,False,Hénault,Le Temple des Chimères,Divertissement,0,la-deesse,6,0,13,3,1,9,0,0,176,,1453,1235,178,,,1806,1806.0,4.615384615384615,0.38461538461538464,0.7794483294483295,13,11.0,1.0,3.0,1.7307692307692308
867,fre000779,hus-ingenu,hus-ingenu,,False,Hus,"L'Ingénu, ou Le Sauvage du Canada",Pantomime en Deux Actes,0,kerkabon,24,0,7,2,2,3,0,27,24,,5702,1559,5058,,,1805,1805.0,3.142857142857143,0.5238095238095238,0.6571428571428571,7,5.0,2.0,2.0,1.2666666666666666
934,fre000801,labiche-michel-deux-timides,labiche-michel-deux-timides,Comedy,False,Labiche,Les Deux Timides,Comédie-Vaudeville en un Acte,1,several characters,20,1,5,3,2,0,0,561,101,,7549,7296,815,,1860-03-16,1860,1860.0,4.0,1.0,1.0,5,4.0,1.0,1.0,1.0
990,fre000896,louet-lemarchant-artistes-de-societe,louet-lemarchant-artistes-de-societe,Comedy,False,Louet-Lemarchant,Les Artistes de Société,"Comédie-vaudeville-impromptu en un Acte,",0,several characters,15,1,11,4,4,3,0,112,248,,4727,4454,277,,,1818,1818.0,6.363636363636363,0.6363636363636364,0.7994227994227995,11,9.0,2.0,2.0,1.2222222222222223
